10ASub1,10ASub2,10ASub3,10BSub1,10BSub2,10BSub3,11ASub1,11ASub2,11ASub3,11BSub1,11BSub2,11BSub3,12ASub1,12ASub2,12ASub3,12BSub1,12BSub2,12BSub3,TestNG3,TestSG3
57,74,68,62,73,69,41,43,75,2,67,0,84,61,62,67.0,71.0,79.0,27,40
51,46,77,54,49,67,39,74,76,47,77,70,81,59,69,65.0,77.0,83.0,24,36
88,61,85,89,58,79,85,80,78,83,77,82,97,80,81,96.0,75.0,90.0,39,53
69,69,75,62,61,64,63,66,66,68,79,74,69,69,72,81.0,81.0,87.0,33,47
83,85,77,81,70,54,74,79,57,74,78,70,94,77,77,81.0,85.0,2.0,39,51
66,72,79,71,61,78,72,69,79,76,72,79,86,79,78,86.0,86.0,89.0,35,48
68,64,75,71,57,68,73,65,79,69,67,76,80,73,77,84.0,89.0,92.0,37,50
86,66,86,82,61,81,88,84,86,83,87,82,89,72,85,93.0,88.0,85.0,32,47
79,78,83,73,80,80,82,77,85,77,80,85,80,85,84,94.0,92.0,87.0,38,53
90,77,87,88,81,83,92,76,90,85,74,86,83,82,87,91.0,89.0,83.0,36,50
59,69,78,63,69,67,69,68,78,74,86,68,96,87,76,80.0,93.0,87.0,45,50
84,84,82,87,77,76,90,83,76,89,82,81,74,86,80,97.0,98.0,81.0,48,52
62,60,82,71,56,73,82,63,60,69,55,63,72,51,70,82.0,14.0,41.0,25,36
60,40,43,61,60,39,50,43,45,45,47,43,23,29,31,23.0,23.0,8.0,21,27
64,51,84,62,53,81,62,44,68,62,62,60,81,46,65,74.0,29.0,64.0,24,38
33,37,60,39,43,58,43,41,57,32,42,44,1,32,41,60.0,28.0,61.0,13,22
50,37,64,50,43,70,33,58,51,32,59,47,61,46,60,20.0,36.0,34.0,27,39
50,53,86,58,48,79,61,42,74,59,47,76,73,42,76,86.0,39.0,86.0,26,40
51,41,66,44,34,46,35,44,42,31,45,37,77,31,51,59.0,42.0,67.0,12,22
60,50,74,59,42,69,54,43,52,48,45,47,74,42,57,34.0,41.0,48.0,21,33
70,61,80,68,55,68,81,60,67,78,58,73,73,66,77,91.0,48.0,64.0,38,52
80,45,77,73,50,70,85,39,69,76,44,67,75,58,63,91.0,50.0,85.0,27,39
68,52,79,65,56,78,68,54,76,71,69,76,92,46,80,87.0,55.0,91.0,26,39
56,64,76,48,52,66,48,55,67,52,53,64,77,61,56,62.0,41.0,61.0,24,36
51,62,73,58,62,67,63,62,66,69,64,57,65,62,66,31.0,62.0,80.0,33,44
62,55,72,59,53,69,52,51,67,71,53,64,70,65,70,84.0,61.0,90.0,26,39
85,62,63,83,50,62,88,64,64,83,59,63,83,62,62,97.0,62.0,74.0,37,50
60,46,83,50,33,61,61,41,82,55,52,71,80,64,72,84.0,64.0,88.0,43,49
75,64,77,76,52,71,72,56,69,71,58,72,65,65,72,82.0,63.0,82.0,38,44
87,67,81,81,61,81,85,59,72,85,62,76,83,65,79,93.0,62.0,81.0,32,45
78,62,76,75,63,73,73,62,77,77,68,80,80,78,73,78.0,63.0,91.0,33,47
69,58,71,69,38,61,62,50,63,61,52,54,84,53,61,82.0,66.0,86.0,26,37
72,73,82,70,71,80,81,78,75,79,82,66,69,76,72,87.0,70.0,81.0,44,50
63,71,71,62,61,79,83,70,59,84,78,56,13,84,55,84.0,71.0,49.0,32,44
88,62,83,86,63,81,93,71,74,89,70,77,86,75,78,91.0,71.0,62.0,38,53
74,69,78,82,79,79,84,69,78,84,70,79,68,81,69,80.0,71.0,91.0,46,52
69,60,76,73,61,74,87,81,72,84,84,77,79,62,65,89.0,72.0,84.0,39,42
54,57,72,51,64,64,64,64,65,68,76,59,71,78,66,82.0,77.0,79.0,31,43
58,59,81,70,59,80,69,65,73,77,74,74,77,79,72,84.0,81.0,73.0,41,47
45,58,82,47,62,77,59,64,77,65,63,74,88,69,75,77.0,81.0,91.0,31,45
85,71,88,84,66,88,91,70,84,88,70,82,89,75,78,93.0,83.0,90.0,37,50
56,61,71,59,52,70,53,62,69,55,83,65,73,63,63,80.0,81.0,94.0,26,38
64,61,77,72,62,78,72,66,78,75,61,76,72,77,76,84.0,84.0,82.0,35,49
82,55,86,81,54,76,80,63,81,83,80,82,93,62,84,96.0,81.0,99.0,34,48
65,61,70,69,58,56,85,62,67,91,74,68,76,83,66,93.0,83.0,84.0,36,50
76,77,81,73,72,71,88,92,85,92,85,76,71,94,66,89.0,91.0,88.0,52,56
94,78,93,97,81,87,99,73,92,99,82,93,100,88,97,97.0,98.0,99.0,50,54
57,69,68,51,49,61,39,47,66,36,24,64,77,41,55,17.0,27.0,0.0,17,25
60,43,65,55,48,62,49,41,63,47,60,66,86,52,63,66.0,42.0,82.0,29,36
64,64,72,77,60,76,64,55,77,75,65,79,88,72,89,77.0,42.0,59.0,41,48
60,67,61,63,59,61,61,62,64,56,63,57,76,73,47,74.0,42.0,92.0,33,39
75,62,84,64,49,77,59,62,79,64,60,79,72,61,76,74.0,39.0,91.0,33,45
62,50,73,61,49,70,66,52,71,67,57,71,80,60,70,83.0,53.0,84.0,38,46
81,61,76,75,48,69,69,50,63,64,50,62,70,59,82,1.0,59.0,85.0,33,48
47,40,60,51,35,45,41,51,63,42,51,59,79,40,72,60.0,63.0,88.0,37,39
75,50,81,72,45,76,72,53,77,78,53,76,77,70,77,86.0,64.0,78.0,23,38
49,57,74,54,67,69,58,42,75,47,47,69,91,61,73,67.0,65.0,82.0,32,37
61,66,76,53,69,62,59,67,67,66,68,54,73,76,67,80.0,71.0,86.0,29,41
66,65,72,70,45,57,59,59,63,59,65,64,77,61,72,81.0,70.0,58.0,41,46
80,43,78,82,35,59,71,41,75,66,21,71,85,68,76,64.0,70.0,58.0,26,38
55,65,86,64,58,78,39,38,71,30,53,73,80,74,80,59.0,77.0,90.0,47,49
83,69,78,82,68,79,85,72,74,90,74,72,86,81,77,97.0,77.0,82.0,52,55
62,48,82,61,48,77,50,43,70,50,58,69,74,64,75,67.0,77.0,83.0,35,39
79,70,87,71,59,85,68,44,87,73,54,82,86,61,90,85.0,81.0,87.0,40,44
90,63,71,89,60,60,77,45,67,77,59,71,88,84,80,92.0,86.0,60.0,50,54
90,68,94,93,56,93,91,56,86,87,52,73,83,54,86,100.0,82.0,95.0,46,49
73,68,74,64,61,74,66,45,71,64,60,67,87,71,72,85.0,85.0,58.0,26,38
76,69,82,79,69,87,82,55,78,84,67,69,77,82,86,93.0,87.0,92.0,39,54
66,69,78,70,65,81,70,71,80,77,72,79,84,83,84,87.0,89.0,87.0,33,46
76,72,77,81,77,75,76,63,74,81,77,70,76,80,72,93.0,89.0,81.0,30,41
56,69,77,53,54,75,53,61,73,56,61,66,83,70,76,60.0,90.0,60.0,23,36
71,61,65,70,61,63,52,59,74,58,64,70,87,80,76,87.0,90.0,94.0,30,44
65,55,77,62,59,59,2,1,2,59,35,64,68,46,68,67.0,40.0,71.0,32,24
51,64,64,44,49,56,35,48,55,35,44,49,66,57,66,62.0,50.0,84.0,29,19
72,71,68,70,54,73,78,65,72,82,71,73,79,76,78,92.0,51.0,99.0,48,47
59,68,75,65,58,62,50,49,59,61,61,58,79,66,62,66.0,58.0,83.0,41,42
65,77,75,59,68,72,61,65,70,64,61,62,71,70,63,86.0,56.0,66.0,45,42
59,53,79,62,50,78,65,37,71,75,52,73,102,56,74,84.0,59.0,74.0,37,43
65,54,77,66,51,78,45,59,60,60,61,61,6,52,2,0.0,62.0,34.0,37,27
65,63,71,62,63,65,65,65,68,61,71,69,68,68,67,69.0,62.0,88.0,44,40
56,62,73,66,61,63,55,55,72,60,65,73,69,61,68,60.0,66.0,75.0,33,31
65,72,66,59,62,59,67,66,56,54,63,57,63,80,68,82.0,67.0,60.0,50,37
80,54,78,79,53,74,74,51,71,70,67,72,70,74,76,86.0,67.0,71.0,49,47
57,63,83,60,59,77,52,53,68,49,65,64,76,60,70,59.0,67.0,91.0,37,38
79,60,86,77,65,82,68,61,77,71,67,74,76,72,78,89.0,68.0,93.0,44,42
81,74,88,82,67,84,81,59,77,80,75,74,72,64,74,92.0,67.0,70.0,49,46
65,66,83,66,69,81,65,67,75,74,75,77,79,77,77,86.0,72.0,89.0,45,48
64,78,80,61,75,75,51,60,75,55,60,72,70,79,77,72.0,75.0,71.0,44,32
74,77,80,70,67,76,71,62,73,67,71,71,72,73,74,68.0,73.0,88.0,47,35
55,71,81,62,76,79,51,66,70,66,71,72,67,78,74,76.0,73.0,63.0,43,31
63,55,71,62,57,58,64,58,75,61,62,75,71,61,72,77.0,78.0,65.0,41,43
76,76,84,74,77,77,65,76,72,75,84,71,82,87,63,87.0,74.0,95.0,53,49
77,79,80,78,74,74,73,79,73,76,73,74,6,83,62,87.0,75.0,68.0,46,46
77,77,85,75,81,85,74,73,83,84,77,84,72,76,77,95.0,77.0,83.0,51,51
78,77,82,71,68,78,75,57,76,76,68,74,81,78,83,85.0,77.0,87.0,43,44
75,84,69,73,67,60,72,69,53,80,64,65,73,79,68,62.0,78.0,90.0,47,45
72,73,76,68,59,58,66,64,75,68,70,75,69,88,72,86.0,83.0,91.0,52,50
77,84,80,78,73,74,87,72,71,87,76,71,81,82,78,94.0,84.0,92.0,54,49
80,80,79,81,75,75,84,74,70,84,82,72,68,77,74,93.0,84.0,88.0,46,43
85,84,84,88,89,78,79,84,74,74,74,53,84,85,77,97.0,83.0,72.0,53,52
61,73,69,64,73,67,59,75,75,72,76,70,72,76,63,90.0,87.0,83.0,48,42
75,80,82,76,74,79,79,67,80,78,70,76,71,78,73,89.0,84.0,96.0,47,48
90,85,84,90,75,89,83,78,87,83,77,89,90,84,88,98.0,86.0,96.0,57,56
67,80,77,69,86,75,67,76,75,78,84,73,80,87,73,80.0,94.0,86.0,48,45
60,80,74,65,71,70,68,72,74,73,83,68,87,84,73,86.0,94.0,68.0,50,38
63,68,80,73,63,87,75,78,85,81,87,88,90,86,79,97.0,93.0,93.0,56,54
80,90,76,81,84,78,83,89,81,86,93,78,76,90,76,82.0,97.0,80.0,51,38
71,52,67,74,52,52,63,44,68,67,52,67,73,44,71,71.0,39.0,88.0,39,38
55,66,72,52,64,70,52,65,63,55,68,64,84,67,62,63.0,46.0,61.0,39,35
71,60,79,68,60,67,60,67,84,64,55,80,67,49,77,72.0,51.0,70.0,40,28
74,72,83,65,63,79,76,65,78,68,68,69,77,59,75,88.0,53.0,80.0,41,30
65,65,73,66,74,72,64,70,65,63,79,57,77,59,58,64.0,52.0,73.0,41,36
84,78,75,85,68,77,77,66,77,81,72,76,82,67,73,91.0,54.0,83.0,50,48
73,69,80,71,59,69,77,53,72,82,70,77,82,61,75,89.0,62.0,94.0,54,49
59,68,79,59,64,73,62,70,68,61,77,58,71,58,69,74.0,64.0,65.0,46,39
71,73,82,69,61,77,72,61,74,73,76,76,90,59,72,79.0,64.0,90.0,41,30
89,72,60,79,67,64,73,69,63,80,74,48,66,67,60,56.0,64.0,67.0,47,44
66,69,82,64,63,81,68,61,73,66,75,70,88,73,74,76.0,70.0,84.0,49,46
83,83,92,85,64,89,83,69,77,80,85,78,88,78,80,86.0,70.0,88.0,51,38
66,63,83,64,71,85,61,66,72,68,76,73,76,59,79,53.0,70.0,96.0,43,42
78,61,76,73,49,72,62,67,74,69,73,73,82,66,77,79.0,69.0,79.0,43,43
88,79,79,84,57,75,83,69,79,79,72,76,79,67,70,89.0,70.0,77.0,44,32
73,86,81,74,76,79,67,82,84,80,74,83,97,69,79,90.0,71.0,91.0,49,35
79,79,87,75,67,81,58,62,83,64,77,79,92,82,85,73.0,69.0,97.0,48,47
89,70,84,88,65,86,92,72,83,88,76,78,93,71,87,93.0,69.0,95.0,50,50
55,74,76,51,64,72,60,58,64,58,72,64,76,72,70,70.0,75.0,87.0,40,41
67,69,74,69,62,76,58,65,67,66,66,73,82,68,77,80.0,71.0,75.0,50,37
81,80,82,77,80,75,76,78,77,68,79,77,60,65,73,85.0,74.0,90.0,49,36
85,82,76,83,74,66,76,77,64,75,76,58,83,73,72,92.0,74.0,68.0,51,50
73,77,69,72,75,67,63,82,70,74,85,68,72,82,73,65.0,77.0,81.0,49,36
62,87,76,62,78,68,58,72,70,59,75,65,77,68,64,66.0,78.0,75.0,42,43
61,79,67,65,65,62,50,71,67,61,67,66,90,72,65,73.0,84.0,64.0,46,34
69,77,81,63,74,76,70,82,82,69,82,75,80,79,72,90.0,86.0,90.0,54,53
72,73,88,71,76,81,76,82,77,73,73,87,88,77,85,88.0,84.0,79.0,52,52
78,84,84,73,76,81,73,74,73,74,81,68,99,88,77,92.0,85.0,89.0,52,39
56,68,62,62,73,57,69,81,49,65,80,32,3,79,48,68.0,89.0,4.0,46,44
82,67,84,81,71,80,87,73,76,90,75,76,78,82,75,92.0,90.0,91.0,49,50
75,73,78,75,68,76,77,72,72,78,77,73,77,77,74,85.0,92.0,93.0,49,36
68,91,85,73,85,80,80,87,80,80,91,76,81,97,80,74.0,93.0,90.0,51,37
51,57,75,57,51,71,56,52,72,43,49,72,64,48,62,56.0,58.0,84.0,35,37
53,37,74,50,35,63,45,46,66,43,58,61,80,52,70,,,,33,32
59,43,76,55,49,60,49,40,57,56,46,54,73,44,71,80.0,27.0,83.0,29,32
71,55,83,70,59,79,59,64,72,55,62,73,79,54,75,88.0,40.0,87.0,38,29
46,47,68,50,46,69,49,46,71,52,58,69,77,57,71,77.0,46.0,83.0,42,38
51,79,82,59,62,73,55,66,69,54,74,67,81,60,74,69.0,51.0,82.0,43,41
67,79,70,62,66,51,49,42,60,38,42,55,72,57,62,77.0,48.0,82.0,45,32
72,70,81,71,71,75,74,51,64,72,56,57,76,56,60,89.0,55.0,84.0,35,27
68,71,77,63,62,71,75,62,69,72,62,70,79,61,76,80.0,53.0,91.0,49,37
67,61,69,63,52,66,64,54,55,67,62,58,66,56,61,83.0,61.0,79.0,43,34
83,64,78,76,58,67,75,48,67,74,65,66,80,60,74,83.0,62.0,92.0,53,51
29,29,38,30,27,30,32,25,31,35,36,44,71,39,49,23.0,59.0,82.0,19,23
63,76,76,64,73,65,67,68,80,68,71,71,98,67,74,83.0,58.0,96.0,47,46
70,75,80,67,69,71,62,64,72,66,61,70,66,67,78,88.0,61.0,92.0,48,47
86,74,84,81,61,79,84,66,73,86,64,74,73,69,77,87.0,62.0,87.0,47,35
59,68,74,62,73,74,58,75,71,58,80,73,67,65,70,69.0,63.0,85.0,45,33
75,68,77,73,63,82,72,60,77,75,67,76,83,72,81,90.0,63.0,88.0,50,49
42,67,64,43,66,65,45,70,69,43,69,64,72,71,70,50.0,64.0,85.0,40,38
59,74,76,58,58,65,54,61,62,56,62,65,97,68,73,75.0,64.0,84.0,40,37
77,65,82,69,69,72,75,76,76,75,74,73,71,74,76,86.0,64.0,86.0,48,45
65,55,77,63,54,79,68,69,69,66,77,62,82,62,74,74.0,64.0,94.0,45,33
73,65,82,74,58,73,77,66,69,79,73,80,78,72,77,95.0,67.0,94.0,49,49
72,80,86,72,68,78,70,70,77,73,77,71,75,66,78,89.0,68.0,90.0,48,48
58,67,71,57,71,65,63,66,68,62,75,66,77,65,70,79.0,70.0,87.0,45,45
74,82,78,75,72,76,75,66,72,77,76,66,77,78,78,82.0,70.0,93.0,49,37
90,53,69,91,62,62,90,65,64,90,71,58,77,71,76,90.0,73.0,88.0,50,37
80,65,79,84,62,76,84,67,74,85,70,72,79,78,74,88.0,75.0,85.0,50,36
63,67,65,59,70,66,63,69,60,66,77,65,84,69,68,89.0,75.0,88.0,48,47
78,83,80,81,71,80,86,75,79,86,77,77,80,81,84,83.0,77.0,94.0,55,52
71,66,88,71,70,83,74,64,75,74,75,77,83,75,84,71.0,74.0,96.0,50,47
84,85,87,83,82,80,78,73,75,81,86,74,92,82,81,85.0,81.0,94.0,52,37
84,79,90,84,76,89,81,73,82,86,79,75,77,79,80,84.0,77.0,90.0,50,49
64,84,77,66,86,75,66,79,75,73,80,75,77,85,77,77.0,82.0,87.0,50,47
85,93,84,82,83,74,83,83,80,82,88,76,84,93,79,89.0,85.0,97.0,53,49
86,78,89,83,72,81,86,71,77,88,79,76,81,84,84,98.0,82.0,97.0,56,52
78,79,79,75,74,70,81,82,81,86,85,76,79,89,72,89.0,92.0,86.0,54,39
89,90,90,94,98,83,94,99,82,90,95,76,71,98,86,88.0,94.0,94.0,53,39
76,66,79,63,56,72,68,63,76,61,65,71,73,45,69,63.0,42.0,60.0,45,47
68,72,78,64,59,61,77,68,76,77,66,76,71,51,63,89.0,47.0,79.0,47,33
78,68,75,76,63,66,76,57,64,80,66,55,71,59,49,92.0,51.0,69.0,41,42
78,64,80,82,60,69,79,65,75,77,67,67,64,66,60,85.0,54.0,66.0,43,30
70,66,64,68,55,57,70,67,71,58,64,60,1,63,45,86.0,55.0,61.0,37,35
65,59,65,67,58,62,65,58,63,69,67,68,77,58,52,85.0,54.0,82.0,45,44
86,68,76,84,61,64,83,61,68,83,68,65,70,64,54,88.0,56.0,62.0,48,35
72,75,93,69,78,87,57,72,79,51,69,81,72,63,75,59.0,62.0,88.0,45,45
71,80,80,78,72,73,70,69,73,60,78,66,68,50,69,75.0,65.0,83.0,39,40
63,78,72,60,70,63,58,61,71,62,73,64,92,71,69,75.0,67.0,88.0,44,32
89,76,83,85,72,73,76,60,80,76,74,83,91,64,72,91.0,69.0,92.0,53,53
52,66,71,43,56,50,32,60,47,31,67,51,78,61,53,62.0,71.0,94.0,39,31
56,89,70,53,79,45,49,76,68,52,77,66,73,62,54,63.0,67.0,41.0,38,28
88,68,84,85,68,85,78,72,83,80,76,83,82,65,73,91.0,70.0,87.0,55,40
64,66,71,65,63,63,71,67,74,69,70,67,75,69,61,89.0,73.0,44.0,47,34
78,67,81,77,65,74,77,65,73,73,73,64,72,67,70,94.0,71.0,89.0,55,42
65,69,77,68,69,59,58,64,69,62,61,70,42,61,32,83.0,71.0,86.0,23,13
71,84,79,65,79,76,63,69,82,76,78,82,90,80,77,83.0,74.0,96.0,52,37
86,69,81,89,70,75,88,71,73,82,73,76,59,76,64,92.0,72.0,70.0,50,47
58,70,64,65,67,62,67,61,75,73,64,73,72,61,64,92.0,73.0,65.0,50,48
75,88,78,82,81,79,82,72,78,76,80,73,68,74,62,78.0,76.0,40.0,48,36
74,69,76,68,68,71,80,70,76,77,77,74,78,76,62,92.0,75.0,58.0,50,36
78,68,78,82,70,79,78,75,72,71,77,74,73,73,70,75.0,78.0,88.0,50,46
81,83,82,82,85,77,80,80,75,76,78,62,89,89,70,98.0,81.0,94.0,51,38
76,70,82,70,63,73,63,68,73,65,69,68,81,64,61,81.0,86.0,62.0,44,42
89,90,89,88,89,85,86,81,80,90,83,79,91,87,73,96.0,84.0,93.0,55,51
89,92,93,93,83,90,93,85,87,97,87,87,89,91,90,98.0,85.0,98.0,59,58
79,80,78,77,61,71,71,74,77,83,83,75,69,74,70,94.0,85.0,68.0,52,39
83,82,91,80,80,85,79,82,85,89,82,83,75,83,82,92.0,85.0,96.0,56,41
89,90,84,90,85,79,92,90,86,92,91,84,99,92,88,98.0,89.0,94.0,58,43
66,69,78,60,63,74,47,46,73,32,55,74,70,37,45,60.0,43.0,26.0,29,32
67,62,82,63,52,76,54,36,77,54,61,74,76,41,51,72.0,60.0,87.0,38,28
69,53,68,67,59,64,62,64,73,64,65,68,58,52,49,81.0,61.0,62.0,39,29
84,81,86,88,73,79,80,77,80,81,76,80,75,72,75,2.0,58.0,0.0,47,46
72,60,67,78,60,51,72,45,64,63,48,59,83,48,48,82.0,53.0,81.0,46,38
66,72,73,66,63,70,62,54,76,70,71,75,74,52,69,75.0,53.0,80.0,46,46
81,79,75,77,71,67,70,72,61,74,75,69,69,68,63,90.0,51.0,82.0,45,32
51,59,74,42,60,72,44,36,57,39,37,42,79,54,68,62.0,59.0,81.0,41,27
62,80,76,68,75,64,58,70,63,65,80,63,71,70,62,62.0,61.0,78.0,38,26
68,68,77,75,66,77,63,58,82,59,66,80,67,58,71,63.0,62.0,77.0,40,28
70,64,63,64,61,64,62,62,70,67,59,66,65,71,62,47.0,62.0,84.0,36,36
70,61,77,73,56,72,74,55,69,76,61,64,87,65,63,84.0,66.0,85.0,34,34
74,75,72,68,72,77,72,70,78,71,75,74,78,70,72,75.0,65.0,84.0,51,37
61,50,70,68,58,71,63,53,61,58,65,56,79,61,70,77.0,68.0,91.0,40,42
70,84,79,62,68,63,52,76,76,53,67,77,83,66,66,75.0,67.0,79.0,43,42
73,64,61,74,49,56,67,66,74,68,62,66,80,62,65,77.0,70.0,82.0,49,43
79,78,83,72,67,75,60,68,76,64,63,69,100,63,76,84.0,70.0,90.0,49,46
86,65,83,78,71,72,80,56,72,78,63,70,84,64,76,90.0,70.0,84.0,49,48
84,78,86,81,63,81,83,62,74,84,66,78,83,67,70,78.0,69.0,81.0,49,38
77,64,88,78,74,84,76,72,75,75,74,70,82,73,68,80.0,70.0,88.0,44,32
50,60,75,50,66,69,34,48,63,46,54,74,90,59,72,71.0,74.0,91.0,39,28
81,79,80,83,72,60,86,71,75,83,79,77,89,69,69,79.0,74.0,87.0,49,47
65,75,71,65,66,63,68,57,65,62,68,54,66,67,61,84.0,74.0,89.0,47,35
69,75,76,63,75,72,70,69,72,73,76,74,75,75,71,93.0,72.0,93.0,48,35
70,80,77,74,70,77,79,69,75,73,65,68,77,66,70,69.0,76.0,84.0,44,32
74,81,79,78,76,63,70,66,77,77,73,72,87,71,64,72.0,75.0,85.0,46,35
85,73,87,81,79,82,85,70,72,83,72,67,79,70,69,84.0,74.0,82.0,45,33
69,66,78,70,59,69,71,53,77,71,55,72,81,71,66,70.0,79.0,88.0,49,36
75,81,75,81,73,72,85,76,74,84,79,73,92,76,71,89.0,81.0,87.0,53,39
84,88,74,80,81,74,73,83,70,78,78,74,75,85,66,78.0,81.0,80.0,51,47
77,77,76,78,76,64,73,68,64,72,74,73,94,73,71,75.0,86.0,84.0,47,45
77,92,82,82,87,79,88,86,84,83,91,79,85,86,77,82.0,85.0,85.0,46,44
80,84,81,77,68,82,84,73,73,87,80,75,87,80,70,91.0,87.0,88.0,58,44
86,81,86,87,80,85,76,81,85,73,83,79,90,81,73,81.0,86.0,79.0,45,41
70,82,89,75,69,75,58,74,73,62,85,69,92,93,81,84.0,87.0,94.0,50,50
90,94,90,85,85,89,92,79,80,92,90,77,83,84,77,90.0,90.0,87.0,55,54
69,86,70,62,73,62,76,79,62,65,80,55,77,88,61,78.0,89.0,77.0,46,33
94,88,89,92,91,88,93,83,86,92,90,84,81,96,90,94.0,93.0,92.0,58,43
53,72,76,49,55,70,51,36,68,47,45,68,77,55,63,74.0,59.0,85.0,29,27
44,72,66,41,63,68,36,38,75,40,42,64,71,38,70,68.0,33.0,79.0,36,37
63,51,70,67,64,79,75,49,73,80,60,73,69,54,73,82.0,51.0,84.0,47,46
40,63,74,46,61,64,48,62,63,58,67,58,86,58,64,67.0,50.0,73.0,33,32
62,76,76,62,61,64,53,63,62,63,72,63,66,56,68,67.0,49.0,74.0,39,27
72,61,71,70,63,69,68,50,75,57,54,70,79,54,67,78.0,50.0,72.0,42,46
89,67,84,85,55,74,78,62,62,87,73,61,76,60,74,0.0,53.0,88.0,41,42
74,69,76,76,56,66,77,60,67,72,59,56,72,48,68,75.0,59.0,77.0,39,28
82,76,76,77,64,75,63,67,58,64,76,59,95,62,64,76.0,62.0,83.0,52,42
75,76,77,72,67,71,75,65,71,75,82,63,74,67,73,82.0,61.0,82.0,45,33
77,62,79,73,61,74,74,54,69,73,61,70,69,48,77,94.0,59.0,87.0,45,34
80,64,74,78,53,72,79,44,68,77,48,67,84,63,76,91.0,62.0,87.0,44,44
65,74,77,65,61,76,67,60,72,77,65,68,65,58,65,78.0,60.0,78.0,42,31
65,74,84,70,67,82,78,72,76,81,72,73,81,72,80,90.0,62.0,78.0,53,40
54,66,67,63,64,67,62,59,68,63,73,63,75,71,67,72.0,62.0,77.0,54,53
61,61,69,64,59,62,71,59,71,78,67,69,83,63,70,81.0,63.0,82.0,42,40
71,73,77,71,70,77,71,74,72,75,76,66,74,70,74,84.0,64.0,87.0,46,45
80,71,70,73,68,60,66,79,72,66,70,73,87,59,72,79.0,69.0,74.0,47,49
58,77,70,59,70,65,51,56,61,59,73,58,86,66,70,76.0,71.0,82.0,46,45
69,86,74,68,85,61,69,79,68,71,85,72,88,81,64,75.0,68.0,90.0,53,39
80,70,84,81,74,77,81,64,80,82,73,79,84,77,72,92.0,70.0,84.0,50,49
72,81,76,74,76,68,72,78,68,72,76,69,74,72,64,72.0,69.0,83.0,48,46
70,77,76,75,65,77,86,67,70,90,73,70,86,77,69,82.0,71.0,78.0,54,40
80,84,78,81,75,82,86,78,73,80,82,69,76,74,72,84.0,73.0,65.0,45,42
88,79,81,91,74,72,79,79,81,85,74,75,73,72,74,80.0,77.0,82.0,46,33
76,70,82,71,67,78,68,73,75,76,73,77,95,77,76,86.0,79.0,82.0,51,50
77,78,84,80,78,82,77,77,74,78,74,76,75,85,72,2.0,80.0,80.0,50,47
69,75,76,71,68,71,69,73,72,67,77,66,68,77,71,74.0,82.0,88.0,51,44
66,79,84,66,71,78,68,81,72,77,85,75,80,71,76,82.0,82.0,84.0,50,45
85,67,83,81,85,82,87,77,77,89,85,79,89,84,80,97.0,82.0,74.0,55,40
79,77,88,81,78,82,87,76,82,83,84,81,74,78,80,80.0,83.0,88.0,50,48
83,85,84,81,85,77,84,88,75,87,88,73,82,90,69,85.0,82.0,83.0,54,52
83,85,85,84,89,81,82,87,80,85,94,78,81,93,74,71.0,91.0,85.0,53,39
