編號,地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價(萬元/坪),總面積(坪),主建物佔比,型態,屋齡,樓別/樓高,主要用途,交易標的,交易筆棟數,建物現況格局,車位總價(萬元),管理組織,電梯,備註,,
56,東區榮譽街９０號三樓之１１,文化皇冠乙區B,113/05/04,295,21.9,13.50,60.21%,華廈(10層含以下有電梯),29,三層/六層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
57,東區仁東街６３號九樓之１３,荷蘭澄園,113/05/14,"1,040",25.5,40.81,70.39%,住宅大樓(11層含以上有電梯),26,九層/十二層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
58,東區東門路三段１１巷７號三樓,,113/05/01,705,17.6,39.97,74.13%,華廈(10層含以下有電梯),43,三層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
59,東區仁和路３１號五樓,太子峰雲會,113/05/03,"2,630",36.5,72.06,59.68%,住宅大樓(11層含以上有電梯),12,五層/十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,3房2廳2衛,,有,有,,,
60,東區自由路一段６６號六樓,德式真諦大廈,113/05/05,"2,170",29,74.93,60.54%,住宅大樓(11層含以上有電梯),7,六層/十一層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,4房2廳2衛,,有,有,其他增建;,,
61,東區林森路二段１２７號之７,崇誨國宅,113/05/11,620,20.3,30.57,78.77%,住宅大樓(11層含以上有電梯),40,八層/十二層,住家用,房地(土地+建物),土:22 建物:1 車位:0,3房2廳2衛,,有,有,,,
62,東區裕信三街１４９號,,113/05/15,"2,350",,65.41,,透天厝,22,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,陽台外推;其他增建;,,
63,東區中華東路一段９０號九樓之６,空中別墅,113/05/12,910,25.5,35.71,73.68%,住宅大樓(11層含以上有電梯),24,九層/十四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
64,東區崇信街１２２號八樓,鶼鰈情,113/05/03,680,18.8,36.26,69.07%,住宅大樓(11層含以上有電梯),31,八層/十一層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
65,東區東成街１８８號五樓,,113/05/20,500,16.2,30.88,82.21%,公寓(5樓含以下無電梯),42,五層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,,,
66,東區崇德路２６０號九樓之６,陽光貴族,113/05/23,240,25.4,9.43,67.67%,住宅大樓(11層含以上有電梯),32,九層/十二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1衛,,有,有,,,
67,東區林森路一段１６０號四樓之５,巴黎廣場,113/05/19,122,13.8,8.86,56.67%,住宅大樓(11層含以上有電梯),34,四層/十二層,商業用,房地(土地+建物),土:1 建物:1 車位:0,1房1衛,,有,有,,,
68,東區長榮路二段３２巷１６０之２號五樓之４,,113/05/02,165,20.7,7.96,57.79%,華廈(10層含以下有電梯),33,五層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
69,東區東興路２０巷８５號,,113/05/01,"1,085",,22.75,,透天厝,45,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,頂樓加蓋;其他增建;,,
70,東區小東路２４６號六樓,天闕大樓,113/05/04,625,22,28.41,47.98%,住宅大樓(11層含以上有電梯),29,六層/二十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,1房2廳1衛,80,有,有,,,
71,東區中華東路二段１８５巷３２號十一樓之１,鄉城陽光鎮,113/05/06,"1,550",30.1,51.52,55.93%,住宅大樓(11層含以上有電梯),29,十一層/二十層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,4房2廳2衛,200,有,有,其他增建;,,
72,東區崇明十八街１號五樓之１,,113/05/02,750,24.5,30.55,68.84%,華廈(10層含以下有電梯),31,五層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,無,有,,,
73,東區勝利路５２巷４４號,,113/05/08,870,19.4,44.90,67.14%,公寓(5樓含以下無電梯),34,一層/五層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,無,其他增建;,,
74,東區德光街１５巷２７號八樓之２,寒舍維多利亞,113/05/05,300,2.5,120.33,4.09%,華廈(10層含以下有電梯),28,八層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,1房1廳1衛,,有,有,,,
75,東區崇明二十二街３６號四樓之１,知築NO7,113/05/09,"1,058",35.3,29.97,58.58%,華廈(10層含以下有電梯),5,四層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
76,東區勝利路５０號三樓之９,大國學苑,113/05/05,298,26.6,11.19,61.95%,華廈(10層含以下有電梯),30,三層/八層,住家用,房地(土地+建物),土:3 建物:1 車位:0,1房1衛,,有,有,,,
77,東區後甲三街１號十三樓之５,,113/05/05,"3,168",52.8,60.06,57.63%,住宅大樓(11層含以上有電梯),,十三層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳2衛,,有,有,,,
78,東區東寧路５３８巷７號五樓之２,皇族學苑,113/05/03,125,23,5.43,59.78%,華廈(10層含以下有電梯),35,五層/七層,住家用,房地(土地+建物),土:2 建物:1 車位:0,,,有,有,,,
79,東區中華東路三段３８９號十六樓之１,文化新世紀,113/05/15,"1,300",31.4,44.61,70.89%,住宅大樓(11層含以上有電梯),23,十六層/二十層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,60,有,有,,,
80,東區長榮路二段３２巷１６０號,,113/05/07,920,14.5,63.32,64.81%,華廈(10層含以下有電梯),33,一層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳2衛,,有,有,,,
81,東區崇明四街４８號六樓,芙蓉新境,113/05/13,325,20.7,15.70,53.11%,華廈(10層含以下有電梯),32,六層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,陽台外推;其他增建;,,
82,東區仁東街２１號十四樓,鄉城大鎮,113/05/17,603,24.6,24.24,70.46%,住宅大樓(11層含以上有電梯),25,十四層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,80,有,有,陽台外推;,,
83,東區長榮路三段６６巷５之１號,,113/05/12,620,22,28.16,70.56%,公寓(5樓含以下無電梯),37,一層/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,,,
84,東區東興路１６９巷２５之４號,,113/05/11,520,13.3,39.10,77.29%,公寓(5樓含以下無電梯),39,五層/五層,住家用,房地(土地+建物),土:7 建物:1 車位:0,3房2廳2衛,,無,無,,,
85,東區長榮路一段２５６號五樓之５,皇后大道大樓,113/05/05,330,16.7,19.75,74.38%,住宅大樓(11層含以上有電梯),30,五層/十二層,商業用,房地(土地+建物),土:2 建物:1 車位:0,1廳,,有,有,,,
86,東區裕永路１１號四樓之２,,113/05/11,"1,580",42.8,36.90,70.55%,華廈(10層含以下有電梯),1,四層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,180,有,有,,,
87,東區裕信路４０７號二樓,花與綠甲A區甲B區,113/05/10,650,23.1,28.11,72.44%,華廈(10層含以下有電梯),25,二層/十層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房1廳1衛,,有,有,急買急賣;,,
88,東區崇道路９６號八樓之２,美國華府住戶大樓,113/05/05,800,22.9,34.91,62.57%,華廈(10層含以下有電梯),32,八層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳3衛,,有,有,,,
89,東區長榮路二段３２巷１４２號四樓之１,雅族,113/05/10,125,18.3,6.84,71.83%,公寓(5樓含以下無電梯),34,四層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1衛,,有,無,,,
90,東區中華東路二段１６９號八樓之９,摩根168大樓,113/05/01,600,29.6,20.28,61.71%,住宅大樓(11層含以上有電梯),16,八層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,1房1衛,,有,有,,,
91,東區林森路二段１９２巷５０弄２之２號,,113/05/06,368,18,20.42,76.93%,公寓(5樓含以下無電梯),39,四層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房1廳2衛,,無,無,,,
92,東區府東街７０號,長榮家園,113/05/03,"1,150",25.7,44.66,77.27%,華廈(10層含以下有電梯),24,"一層,騎樓/七層",住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,其他增建;,,
93,東區中華東路二段２２６巷２７弄２８號,,113/05/14,"2,350",,70.38,,透天厝,36,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,7房2廳4衛,,有,無,其他增建;,,
94,東區怡東路７２巷４號五樓,,113/05/05,550,16.3,33.65,77.97%,公寓(5樓含以下無電梯),40,五層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,,,
95,東區德東街１８９巷１９號,,113/05/16,"1,250",,32.94,,透天厝,42,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
96,東區東興路３１巷８號之３,,113/05/26,665,19.7,33.83,81.46%,公寓(5樓含以下無電梯),43,"四層,電梯樓梯間/五層",住家用,房地(土地+建物),土:1 建物:1 車位:0,4房1廳2衛,,無,無,,,
97,東區衛國街５４號四樓,,113/05/13,360,11.7,30.87,74.51%,公寓(5樓含以下無電梯),39,四層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,,,
98,東區林森路二段９０號八樓之６,皇家大學城3,113/05/12,680,21.9,30.99,68.98%,住宅大樓(11層含以上有電梯),30,八層/十六層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
99,東區崇善路２５巷１１６號十一樓,帝心,113/05/05,"1,110",30.6,36.30,50.95%,住宅大樓(11層含以上有電梯),14,十一層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
100,東區崇德十五街７２號,,113/05/18,"2,100",,57.94,,透天厝,41,全/三層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳4衛,,無,無,其他增建;,,
101,東區勝利路５０號六樓之１７,大國學苑,113/05/01,266,29.2,9.11,61.37%,華廈(10層含以下有電梯),30,六層/八層,住家用,房地(土地+建物),土:3 建物:1 車位:0,1房1衛,,有,有,含租約;,,
102,東區文化路３３號三樓之３,太子文化會館,113/05/03,836,34,24.61,63.91%,住宅大樓(11層含以上有電梯),14,三層/十四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房1廳1衛,,有,有,,,
103,東區林森路二段１２６號,,113/05/15,"1,300",,15.17,,透天厝,64,全/一層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房1廳1衛,,無,無,其他增建;,,
104,東區衛國街１１４巷２０號,東門國宅,113/05/08,425,18.7,22.78,86.91%,華廈(10層含以下有電梯),44,一層/七層,住家用,房地(土地+建物),土:16 建物:1 車位:0,2房1廳1衛,,無,有,,,
105,東區中華東路二段１３３巷４弄６號二樓,,113/05/05,580,19.9,29.09,82.76%,公寓(5樓含以下無電梯),42,二層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳1衛,,無,無,,,
106,東區德昌路８７號十一樓之２,,113/05/17,"1,828",42.5,50.00,63.48%,住宅大樓(11層含以上有電梯),1,十一層/十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,3房2廳2衛,346,有,有,,,
107,東區德昌路８７號五樓之１,,113/05/18,"1,328",41.7,35.62,61.40%,住宅大樓(11層含以上有電梯),1,五層/十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,158,有,有,,,
108,東區崇德二十五街６號,陽光公園,113/05/14,"1,100",22.3,49.25,71.04%,住宅大樓(11層含以上有電梯),24,一層/十二層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
109,東區崇德二十街７５號,,113/05/14,"1,860",,57.25,,透天厝,22,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,無,陽台外推;其他增建;,,
110,東區中華東路二段２１１號,,113/05/09,"2,056",,63.61,,透天厝,39,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,6房2廳4衛,,無,無,陽台外推;頂樓加蓋;,,
111,東區裕信三街１０７號,,113/05/15,"2,570",,72.13,,透天厝,19,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,無,陽台外推;頂樓加蓋;,,
112,東區東寧路３１８號,,113/05/16,"2,100",,26.39,,透天厝,52,全/二層,住商用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳2衛,,無,無,,,
113,東區勝利路５２巷８８號,,113/05/21,"1,280",,37.21,,透天厝,46,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,6房2廳4衛,,無,無,其他增建;,,
114,東區東成街２００巷６０號,東方名人巷大樓B棟,113/05/17,710,21,33.77,56.49%,華廈(10層含以下有電梯),30,二層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
115,東區慶東街８７巷３號五樓,慶東大樓B棟,113/05/10,318,18.7,17.04,75.12%,公寓(5樓含以下無電梯),29,五層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房1廳2衛,,無,無,,,
116,東區崇善十一街５０號四樓之３,文化特區,113/05/14,658,24,27.42,69.93%,住宅大樓(11層含以上有電梯),25,四層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,2房2廳1衛,,有,有,車位編號分別為24及67號,,
117,東區利東街３２號二樓,漢威華廈住戶,113/05/24,310,14.6,21.28,61.01%,華廈(10層含以下有電梯),28,二層/八層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房1廳1衛,,有,有,陽台外推;,,
