10ASub1,10ASub2,10ASub3,10BSub1,10BSub2,10BSub3,11ASub1,11ASub2,11ASub3,11BSub1,11BSub2,11BSub3,12ASub1,12ASub2,12ASub3,12BSub1,12BSub2,12BSub3,TestNG3,TestSG3,學校,入學管道
62,55,72,59,53,69,52,51,67,71,53,64,70,65,70,84,61,90,26,39,東吳大學,考試分發
85,62,63,83,50,62,88,64,64,83,59,63,83,62,62,97,62,74,37,50,國立政治大學,考試分發
60,46,83,50,33,61,61,41,82,55,52,71,80,64,72,84,64,88,43,49,國立成功大學,考試分發
75,64,77,76,52,71,72,56,69,71,58,72,65,65,72,82,63,82,38,44,國立成功大學,考試分發
87,67,81,81,61,81,85,59,72,85,62,76,83,65,79,93,62,81,32,45,國立臺灣師範大學,考試分發
78,62,76,75,63,73,73,62,77,77,68,80,80,78,73,78,63,91,33,47,國立臺北大學,考試分發
69,58,71,69,38,61,62,50,63,61,52,54,84,53,61,82,66,86,26,37,中原大學,考試分發
72,73,82,70,71,80,81,78,75,79,82,66,69,76,72,87,70,81,44,50,國立中興大學,個人申請
63,71,71,62,61,79,83,70,59,84,78,56,13,84,55,84,71,49,32,44,國立政治大學,考試分發
88,62,83,86,63,81,93,71,74,89,70,77,86,75,78,91,71,62,38,53,國立臺北大學,個人申請
74,69,78,82,79,79,84,69,78,84,70,79,68,81,69,80,71,91,46,52,國立政治大學,個人申請
69,60,76,73,61,74,87,81,72,84,84,77,79,62,65,89,72,84,39,42,國立成功大學,特教考試
54,57,72,51,64,64,64,64,65,68,76,59,71,78,66,82,77,79,31,43,國立中正大學,考試分發
58,59,81,70,59,80,69,65,73,77,74,74,77,79,72,84,81,73,41,47,國立清華大學,個人申請
45,58,82,47,62,77,59,64,77,65,63,74,88,69,75,77,81,91,31,45,國立臺灣藝術大學,考試分發
85,71,88,84,66,88,91,70,84,88,70,82,89,75,78,93,83,90,37,50,國立成功大學,個人申請
56,61,71,59,52,70,53,62,69,55,83,65,73,63,63,80,81,94,26,38,世新大學,考試分發
64,61,77,72,62,78,72,66,78,75,61,76,72,77,76,84,84,82,35,49,國立中正大學,個人申請
82,55,86,81,54,76,80,63,81,83,80,82,93,62,84,96,81,99,34,48,國立政治大學,考試分發
65,61,70,69,58,56,85,62,67,91,74,68,76,83,66,93,83,84,36,50,國立政治大學,個人申請
76,77,81,73,72,71,88,92,85,92,85,76,71,94,66,89,91,88,52,56,國立臺灣大學,個人申請
94,78,93,97,81,87,99,73,92,99,82,93,100,88,97,97,98,99,50,54,國立臺灣大學,繁星推薦
57,69,68,51,49,61,39,47,66,36,24,64,77,41,55,17,27,0,17,25,-,-
60,43,65,55,48,62,49,41,63,47,60,66,86,52,63,66,42,82,29,36,東吳大學,考試分發
64,64,72,77,60,76,64,55,77,75,65,79,88,72,89,77,42,59,41,48,國立政治大學,考試分發
60,67,61,63,59,61,61,62,64,56,63,57,76,73,47,74,42,92,33,39,國立東華大學,特教考試
75,62,84,64,49,77,59,62,79,64,60,79,72,61,76,74,39,91,33,45,國立臺北大學,考試分發
62,50,73,61,49,70,66,52,71,67,57,71,80,60,70,83,53,84,38,46,東吳大學,個人申請
81,61,76,75,48,69,69,50,63,64,50,62,70,59,82,1,59,85,33,48,國立中正大學,考試分發
47,40,60,51,35,45,41,51,63,42,51,59,79,40,72,60,63,88,37,39,輔仁大學,考試分發
75,50,81,72,45,76,72,53,77,78,53,76,77,70,77,86,64,78,23,38,輔仁大學,個人申請
49,57,74,54,67,69,58,42,75,47,47,69,91,61,73,67,65,82,32,37,國立臺灣體育運動大學,考試分發
61,66,76,53,69,62,59,67,67,66,68,54,73,76,67,80,71,86,29,41,國立中正大學,考試分發
66,65,72,70,45,57,59,59,63,59,65,64,77,61,72,81,70,58,41,46,國立臺北大學,個人申請
80,43,78,82,35,59,71,41,75,66,21,71,85,68,76,64,70,58,26,38,國立政治大學,特教考試
55,65,86,64,58,78,39,38,71,30,53,73,80,74,80,59,77,90,47,49,國立成功大學,考試分發
83,69,78,82,68,79,85,72,74,90,74,72,86,81,77,97,77,82,52,55,國立臺灣大學,考試分發
62,48,82,61,48,77,50,43,70,50,58,69,74,64,75,67,77,83,35,39,淡江大學,考試分發
79,70,87,71,59,85,68,44,87,73,54,82,86,61,90,85,81,87,40,44,國立臺灣師範大學,個人申請
90,63,71,89,60,60,77,45,67,77,59,71,88,84,80,92,86,60,50,54,國立政治大學,個人申請
90,68,94,93,56,93,91,56,86,87,52,73,83,54,86,100,82,95,46,49,國立政治大學,個人申請
73,68,74,64,61,74,66,45,71,64,60,67,87,71,72,85,85,58,26,38,國立嘉義大學,考試分發
76,69,82,79,69,87,82,55,78,84,67,69,77,82,86,93,87,92,39,54,國立中山大學,個人申請
66,69,78,70,65,81,70,71,80,77,72,79,84,83,84,87,89,87,33,46,國立中山大學,個人申請
76,72,77,81,77,75,76,63,74,81,77,70,76,80,72,93,89,81,30,41,國立中正大學,個人申請
56,69,77,53,54,75,53,61,73,56,61,66,83,70,76,60,90,60,23,36,國立屏東大學,考試分發
71,61,65,70,61,63,52,59,74,58,64,70,87,80,76,87,90,94,30,44,國立臺北大學,個人申請
65,55,77,62,59,59,2,1,2,59,35,64,68,46,68,67,40,71,32,24,南臺科技大學,科大申請
51,64,64,44,49,56,35,48,55,35,44,49,66,57,66,62,50,84,29,19,義守大學,個人申請
72,71,68,70,54,73,78,65,72,82,71,73,79,76,78,92,51,99,48,47,-,-
59,68,75,65,58,62,50,49,59,61,61,58,79,66,62,66,58,83,41,42,逢甲大學,個人申請
65,77,75,59,68,72,61,65,70,64,61,62,71,70,63,86,56,66,45,42,國立中山大學,個人申請
59,53,79,62,50,78,65,37,71,75,52,73,102,56,74,84,59,74,37,43,-,-
65,54,77,66,51,78,45,59,60,60,61,61,6,52,2,0,62,34,37,27,-,-
65,63,71,62,63,65,65,65,68,61,71,69,68,68,67,69,62,88,44,40,國立成功大學,個人申請
56,62,73,66,61,63,55,55,72,60,65,73,69,61,68,60,66,75,33,31,國立宜蘭大學,考試分發
65,72,66,59,62,59,67,66,56,54,63,57,63,80,68,82,67,60,50,37,國立成功大學,考試分發
80,54,78,79,53,74,74,51,71,70,67,72,70,74,76,86,67,71,49,47,國立中興大學,考試分發
57,63,83,60,59,77,52,53,68,49,65,64,76,60,70,59,67,91,37,38,國立臺南大學,個人申請
79,60,86,77,65,82,68,61,77,71,67,74,76,72,78,89,68,93,44,42,東海大學,考試分發
81,74,88,82,67,84,81,59,77,80,75,74,72,64,74,92,67,70,49,46,國立高雄師範大學,考試分發
65,66,83,66,69,81,65,67,75,74,75,77,79,77,77,86,72,89,45,48,國立成功大學,考試分發
64,78,80,61,75,75,51,60,75,55,60,72,70,79,77,72,75,71,44,32,逢甲大學,考試分發
74,77,80,70,67,76,71,62,73,67,71,71,72,73,74,68,73,88,47,35,國立東華大學,考試分發
55,71,81,62,76,79,51,66,70,66,71,72,67,78,74,76,73,63,43,31,國立中興大學,考試分發
63,55,71,62,57,58,64,58,75,61,62,75,71,61,72,77,78,65,41,43,國立中正大學,考試分發
76,76,84,74,77,77,65,76,72,75,84,71,82,87,63,87,74,95,53,49,國立陽明交通大學,個人申請
77,79,80,78,74,74,73,79,73,76,73,74,6,83,62,87,75,68,46,46,國立成功大學,考試分發
77,77,85,75,81,85,74,73,83,84,77,84,72,76,77,95,77,83,51,51,國立中央大學,個人申請
78,77,82,71,68,78,75,57,76,76,68,74,81,78,83,85,77,87,43,44,國立臺灣師範大學,考試分發
75,84,69,73,67,60,72,69,53,80,64,65,73,79,68,62,78,90,47,45,國立中山大學,考試分發
72,73,76,68,59,58,66,64,75,68,70,75,69,88,72,86,83,91,52,50,國立臺灣師範大學,考試分發
77,84,80,78,73,74,87,72,71,87,76,71,81,82,78,94,84,92,54,49,國立陽明交通大學,考試分發
80,80,79,81,75,75,84,74,70,84,82,72,68,77,74,93,84,88,46,43,國立中興大學,考試分發
85,84,84,88,89,78,79,84,74,74,74,53,84,85,77,97,83,72,53,52,國立臺灣大學,考試分發
61,73,69,64,73,67,59,75,75,72,76,70,72,76,63,90,87,83,48,42,國立中興大學,考試分發
75,80,82,76,74,79,79,67,80,78,70,76,71,78,73,89,84,96,47,48,國立成功大學,考試分發
90,85,84,90,75,89,83,78,87,83,77,89,90,84,88,98,86,96,57,56,國立臺灣大學,個人申請
67,80,77,69,86,75,67,76,75,78,84,73,80,87,73,80,94,86,48,45,國立中興大學,考試分發
60,80,74,65,71,70,68,72,74,73,83,68,87,84,73,86,94,68,50,38,國立成功大學,考試分發
63,68,80,73,63,87,75,78,85,81,87,88,90,86,79,97,93,93,56,54,國立陽明交通大學,個人申請
80,90,76,81,84,78,83,89,81,86,93,78,76,90,76,82,97,80,51,38,國立成功大學,考試分發
71,52,67,74,52,52,63,44,68,67,52,67,73,44,71,71,39,88,39,38,-,-
55,66,72,52,64,70,52,65,63,55,68,64,84,67,62,63,46,61,39,35,淡江大學,個人申請
71,60,79,68,60,67,60,67,84,64,55,80,67,49,77,72,51,70,40,28,國立屏東大學,個人申請
74,72,83,65,63,79,76,65,78,68,68,69,77,59,75,88,53,80,41,30,國立臺南大學,考試分發
65,65,73,66,74,72,64,70,65,63,79,57,77,59,58,64,52,73,41,36,國立暨南國際大學,個人申請
84,78,75,85,68,77,77,66,77,81,72,76,82,67,73,91,54,83,50,48,國立中興大學,個人申請
73,69,80,71,59,69,77,53,72,82,70,77,82,61,75,89,62,94,54,49,國立清華大學,個人申請
59,68,79,59,64,73,62,70,68,61,77,58,71,58,69,74,64,65,46,39,國立臺灣師範大學,個人申請
71,73,82,69,61,77,72,61,74,73,76,76,90,59,72,79,64,90,41,30,國立彰化師範大學,考試分發
89,72,60,79,67,64,73,69,63,80,74,48,66,67,60,56,64,67,47,44,國立成功大學,考試分發
66,69,82,64,63,81,68,61,73,66,75,70,88,73,74,76,70,84,49,46,國立中興大學,個人申請
83,83,92,85,64,89,83,69,77,80,85,78,88,78,80,86,70,88,51,38,國立成功大學,個人申請
66,63,83,64,71,85,61,66,72,68,76,73,76,59,79,53,70,96,43,42,國立陽明交通大學,考試分發
78,61,76,73,49,72,62,67,74,69,73,73,82,66,77,79,69,79,43,43,國立高雄師範大學,考試分發
88,79,79,84,57,75,83,69,79,79,72,76,79,67,70,89,70,77,44,32,國立中山大學,個人申請
73,86,81,74,76,79,67,82,84,80,74,83,97,69,79,90,71,91,49,35,國立中央大學,個人申請
79,79,87,75,67,81,58,62,83,64,77,79,92,82,85,73,69,97,48,47,國立臺灣師範大學,個人申請
89,70,84,88,65,86,92,72,83,88,76,78,93,71,87,93,69,95,50,50,國立成功大學,個人申請
55,74,76,51,64,72,60,58,64,58,72,64,76,72,70,70,75,87,40,41,國立臺南大學,考試分發
67,69,74,69,62,76,58,65,67,66,66,73,82,68,77,80,71,75,50,37,國立成功大學,考試分發
81,80,82,77,80,75,76,78,77,68,79,77,60,65,73,85,74,90,49,36,國立中正大學,個人申請
85,82,76,83,74,66,76,77,64,75,76,58,83,73,72,92,74,68,51,50,國立成功大學,考試分發
73,77,69,72,75,67,63,82,70,74,85,68,72,82,73,65,77,81,49,36,國立成功大學,考試分發
62,87,76,62,78,68,58,72,70,59,75,65,77,68,64,66,78,75,42,43,元智大學,考試分發
61,79,67,65,65,62,50,71,67,61,67,66,90,72,65,73,84,64,46,34,國立中正大學,考試分發
69,77,81,63,74,76,70,82,82,69,82,75,80,79,72,90,86,90,54,53,國立成功大學,考試分發
72,73,88,71,76,81,76,82,77,73,73,87,88,77,85,88,84,79,52,52,國立臺灣大學,個人申請
78,84,84,73,76,81,73,74,73,74,81,68,99,88,77,92,85,89,52,39,國立陽明交通大學,個人申請
56,68,62,62,73,57,69,81,49,65,80,32,3,79,48,68,89,4,46,44,國立清華大學,考試分發
82,67,84,81,71,80,87,73,76,90,75,76,78,82,75,92,90,91,49,50,國立中正大學,考試分發
75,73,78,75,68,76,77,72,72,78,77,73,77,77,74,85,92,93,49,36,國立中正大學,考試分發
68,91,85,73,85,80,80,87,80,80,91,76,81,97,80,74,93,90,51,37,國立成功大學,考試分發
51,57,75,57,51,71,56,52,72,43,49,72,64,48,62,56,58,84,35,37,國立高雄科技大學,科大申請
53,37,74,50,35,63,45,46,66,43,58,61,80,52,70,,,,33,32,-,-
59,43,76,55,49,60,49,40,57,56,46,54,73,44,71,80,27,83,29,32,國立嘉義大學,考試分發
71,55,83,70,59,79,59,64,72,55,62,73,79,54,75,88,40,87,38,29,國立臺南大學,個人申請
46,47,68,50,46,69,49,46,71,52,58,69,77,57,71,77,46,83,42,38,國立臺灣海洋大學,考試分發
51,79,82,59,62,73,55,66,69,54,74,67,81,60,74,69,51,82,43,41,中原大學,考試分發
67,79,70,62,66,51,49,42,60,38,42,55,72,57,62,77,48,82,45,32,國立成功大學,個人申請
72,70,81,71,71,75,74,51,64,72,56,57,76,56,60,89,55,84,35,27,東海大學,考試分發
68,71,77,63,62,71,75,62,69,72,62,70,79,61,76,80,53,91,49,37,國立中山大學,個人申請
67,61,69,63,52,66,64,54,55,67,62,58,66,56,61,83,61,79,43,34,逢甲大學,考試分發
83,64,78,76,58,67,75,48,67,74,65,66,80,60,74,83,62,92,53,51,國立中興大學,個人申請
29,29,38,30,27,30,32,25,31,35,36,44,71,39,49,23,59,82,19,23,-,-
63,76,76,64,73,65,67,68,80,68,71,71,98,67,74,83,58,96,47,46,臺北醫學大學,考試分發
70,75,80,67,69,71,62,64,72,66,61,70,66,67,78,88,61,92,48,47,國立彰化師範大學,考試分發
86,74,84,81,61,79,84,66,73,86,64,74,73,69,77,87,62,87,47,35,國立中山大學,個人申請
59,68,74,62,73,74,58,75,71,58,80,73,67,65,70,69,63,85,45,33,國立臺灣師範大學,個人申請
75,68,77,73,63,82,72,60,77,75,67,76,83,72,81,90,63,88,50,49,國立臺灣師範大學,個人申請
42,67,64,43,66,65,45,70,69,43,69,64,72,71,70,50,64,85,40,38,輔仁大學,考試分發
59,74,76,58,58,65,54,61,62,56,62,65,97,68,73,75,64,84,40,37,逢甲大學,個人申請
77,65,82,69,69,72,75,76,76,75,74,73,71,74,76,86,64,86,48,45,國立中山大學,個人申請
65,55,77,63,54,79,68,69,69,66,77,62,82,62,74,74,64,94,45,33,國立高雄師範大學,考試分發
73,65,82,74,58,73,77,66,69,79,73,80,78,72,77,95,67,94,49,49,國立政治大學,考試分發
72,80,86,72,68,78,70,70,77,73,77,71,75,66,78,89,68,90,48,48,國立中興大學,考試分發
58,67,71,57,71,65,63,66,68,62,75,66,77,65,70,79,70,87,45,45,國立成功大學,個人申請
74,82,78,75,72,76,75,66,72,77,76,66,77,78,78,82,70,93,49,37,國立成功大學,個人申請
90,53,69,91,62,62,90,65,64,90,71,58,77,71,76,90,73,88,50,37,-,-
80,65,79,84,62,76,84,67,74,85,70,72,79,78,74,88,75,85,50,36,國立成功大學,考試分發
63,67,65,59,70,66,63,69,60,66,77,65,84,69,68,89,75,88,48,47,國立成功大學,考試分發
78,83,80,81,71,80,86,75,79,86,77,77,80,81,84,83,77,94,55,52,國立陽明交通大學,個人申請
71,66,88,71,70,83,74,64,75,74,75,77,83,75,84,71,74,96,50,47,國立成功大學,個人申請
84,85,87,83,82,80,78,73,75,81,86,74,92,82,81,85,81,94,52,37,國立陽明交通大學,個人申請
84,79,90,84,76,89,81,73,82,86,79,75,77,79,80,84,77,90,50,49,國立陽明交通大學,考試分發
64,84,77,66,86,75,66,79,75,73,80,75,77,85,77,77,82,87,50,47,國立成功大學,考試分發
85,93,84,82,83,74,83,83,80,82,88,76,84,93,79,89,85,97,53,49,國立臺灣大學,個人申請
86,78,89,83,72,81,86,71,77,88,79,76,81,84,84,98,82,97,56,52,國立清華大學,個人申請
78,79,79,75,74,70,81,82,81,86,85,76,79,89,72,89,92,86,54,39,-,-
89,90,90,94,98,83,94,99,82,90,95,76,71,98,86,88,94,94,53,39,國立臺灣大學,希望入學
76,66,79,63,56,72,68,63,76,61,65,71,73,45,69,63,42,60,45,47,國立成功大學,個人申請
68,72,78,64,59,61,77,68,76,77,66,76,71,51,63,89,47,79,47,33,國立高雄大學,個人申請
78,68,75,76,63,66,76,57,64,80,66,55,71,59,49,92,51,69,41,42,國立臺灣海洋大學,考試分發
78,64,80,82,60,69,79,65,75,77,67,67,64,66,60,85,54,66,43,30,國立臺灣海洋大學,考試分發
70,66,64,68,55,57,70,67,71,58,64,60,1,63,45,86,55,61,37,35,國立屏東大學,考試分發
65,59,65,67,58,62,65,58,63,69,67,68,77,58,52,85,54,82,45,44,-,-
86,68,76,84,61,64,83,61,68,83,68,65,70,64,54,88,56,62,48,35,-,-
72,75,93,69,78,87,57,72,79,51,69,81,72,63,75,59,62,88,45,45,國立臺灣師範大學,個人申請
71,80,80,78,72,73,70,69,73,60,78,66,68,50,69,75,65,83,39,40,-,-
63,78,72,60,70,63,58,61,71,62,73,64,92,71,69,75,67,88,44,32,國立成功大學,個人申請
89,76,83,85,72,73,76,60,80,76,74,83,91,64,72,91,69,92,53,53,國立臺灣大學,個人申請
52,66,71,43,56,50,32,60,47,31,67,51,78,61,53,62,71,94,39,31,國立臺南大學,考試分發
56,89,70,53,79,45,49,76,68,52,77,66,73,62,54,63,67,41,38,28,國立嘉義大學,考試分發
88,68,84,85,68,85,78,72,83,80,76,83,82,65,73,91,70,87,55,40,國立成功大學,個人申請
64,66,71,65,63,63,71,67,74,69,70,67,75,69,61,89,73,44,47,34,國立成功大學,考試分發
78,67,81,77,65,74,77,65,73,73,73,64,72,67,70,94,71,89,55,42,國立成功大學,個人申請
65,69,77,68,69,59,58,64,69,62,61,70,42,61,32,83,71,86,23,13,-,-
71,84,79,65,79,76,63,69,82,76,78,82,90,80,77,83,74,96,52,37,國立成功大學,考試分發
86,69,81,89,70,75,88,71,73,82,73,76,59,76,64,92,72,70,50,47,國立成功大學,個人申請
58,70,64,65,67,62,67,61,75,73,64,73,72,61,64,92,73,65,50,48,國立成功大學,個人申請
75,88,78,82,81,79,82,72,78,76,80,73,68,74,62,78,76,40,48,36,東海大學,考試分發
74,69,76,68,68,71,80,70,76,77,77,74,78,76,62,92,75,58,50,36,國立陽明交通大學,個人申請
78,68,78,82,70,79,78,75,72,71,77,74,73,73,70,75,78,88,50,46,國立成功大學,考試分發
81,83,82,82,85,77,80,80,75,76,78,62,89,89,70,98,81,94,51,38,國立清華大學,個人申請
76,70,82,70,63,73,63,68,73,65,69,68,81,64,61,81,86,62,44,42,國立中山大學,考試分發
89,90,89,88,89,85,86,81,80,90,83,79,91,87,73,96,84,93,55,51,國立成功大學,個人申請
89,92,93,93,83,90,93,85,87,97,87,87,89,91,90,98,85,98,59,58,國立臺灣大學,個人申請
79,80,78,77,61,71,71,74,77,83,83,75,69,74,70,94,85,68,52,39,國立成功大學,考試分發
83,82,91,80,80,85,79,82,85,89,82,83,75,83,82,92,85,96,56,41,國立陽明交通大學,個人申請
89,90,84,90,85,79,92,90,86,92,91,84,99,92,88,98,89,94,58,43,國立臺灣大學,個人申請
66,69,78,60,63,74,47,46,73,32,55,74,70,37,45,60,43,26,29,32,-,-
67,62,82,63,52,76,54,36,77,54,61,74,76,41,51,72,60,87,38,28,-,-
69,53,68,67,59,64,62,64,73,64,65,68,58,52,49,81,61,62,39,29,國立嘉義大學,個人申請
84,81,86,88,73,79,80,77,80,81,76,80,75,72,75,2,58,0,47,46,國立成功大學,考試分發
72,60,67,78,60,51,72,45,64,63,48,59,83,48,48,82,53,81,46,38,國立高雄師範大學,考試分發
66,72,73,66,63,70,62,54,76,70,71,75,74,52,69,75,53,80,46,46,國立高雄大學,考試分發
81,79,75,77,71,67,70,72,61,74,75,69,69,68,63,90,51,82,45,32,逢甲大學,個人申請
51,59,74,42,60,72,44,36,57,39,37,42,79,54,68,62,59,81,41,27,國立高雄大學,個人申請
62,80,76,68,75,64,58,70,63,65,80,63,71,70,62,62,61,78,38,26,逢甲大學,考試分發
68,68,77,75,66,77,63,58,82,59,66,80,67,58,71,63,62,77,40,28,國立臺中教育大學,個人申請
70,64,63,64,61,64,62,62,70,67,59,66,65,71,62,47,62,84,36,36,國立屏東大學,考試分發
70,61,77,73,56,72,74,55,69,76,61,64,87,65,63,84,66,85,34,34,國立高雄大學,考試分發
74,75,72,68,72,77,72,70,78,71,75,74,78,70,72,75,65,84,51,37,國立臺灣大學,個人申請
61,50,70,68,58,71,63,53,61,58,65,56,79,61,70,77,68,91,40,42,國立嘉義大學,考試分發
70,84,79,62,68,63,52,76,76,53,67,77,83,66,66,75,67,79,43,42,國立高雄師範大學,考試分發
73,64,61,74,49,56,67,66,74,68,62,66,80,62,65,77,70,82,49,43,國立臺灣師範大學,個人申請
79,78,83,72,67,75,60,68,76,64,63,69,100,63,76,84,70,90,49,46,國立中山大學,個人申請
86,65,83,78,71,72,80,56,72,78,63,70,84,64,76,90,70,84,49,48,國立臺灣科技大學,科大申請
84,78,86,81,63,81,83,62,74,84,66,78,83,67,70,78,69,81,49,38,國立成功大學,考試分發
77,64,88,78,74,84,76,72,75,75,74,70,82,73,68,80,70,88,44,32,國立陽明交通大學,個人申請
50,60,75,50,66,69,34,48,63,46,54,74,90,59,72,71,74,91,39,28,國立臺北教育大學,個人申請
81,79,80,83,72,60,86,71,75,83,79,77,89,69,69,79,74,87,49,47,國立中興大學,考試分發
65,75,71,65,66,63,68,57,65,62,68,54,66,67,61,84,74,89,47,35,國立中央大學,個人申請
69,75,76,63,75,72,70,69,72,73,76,74,75,75,71,93,72,93,48,35,國立中央大學,個人申請
70,80,77,74,70,77,79,69,75,73,65,68,77,66,70,69,76,84,44,32,國立中山大學,考試分發
74,81,79,78,76,63,70,66,77,77,73,72,87,71,64,72,75,85,46,35,國立中央大學,考試分發
85,73,87,81,79,82,85,70,72,83,72,67,79,70,69,84,74,82,45,33,國立中興大學,考試分發
69,66,78,70,59,69,71,53,77,71,55,72,81,71,66,70,79,88,49,36,國立臺灣大學,考試分發
75,81,75,81,73,72,85,76,74,84,79,73,92,76,71,89,81,87,53,39,國立臺灣大學,個人申請
84,88,74,80,81,74,73,83,70,78,78,74,75,85,66,78,81,80,51,47,國立成功大學,考試分發
77,77,76,78,76,64,73,68,64,72,74,73,94,73,71,75,86,84,47,45,國立成功大學,考試分發
77,92,82,82,87,79,88,86,84,83,91,79,85,86,77,82,85,85,46,44,國立成功大學,考試分發
80,84,81,77,68,82,84,73,73,87,80,75,87,80,70,91,87,88,58,44,國立清華大學,個人申請
86,81,86,87,80,85,76,81,85,73,83,79,90,81,73,81,86,79,45,41,國立成功大學,個人申請
